,2,3,5,6,7,8,12,14,15
4,0.6028,0.6443,0.3185,0.5138,0.2819,0.4095,0.5476,0.5744,0.6244
6,0.0579,0.1739,0.1308,0.1289,0.2034,0.0034,0.004,0.1247,0.0329
7,0.5537,0.5957,0.3135,0.3661,0.3153,0.3862,0.4417,0.489,0.5574
9,0.6401,0.6433,0.2734,0.3393,0.0938,0.4647,0.5589,0.5095,0.6643
11,0.4706,0.3732,0.262,0.3597,0.1607,0.1956,0.4496,0.4038,0.5143
12,0.6553,0.6192,0.1888,0.3736,0.1394,0.4658,0.5163,0.4548,0.6082
15,0.5403,0.677,0.3964,0.3956,0.1951,0.4484,0.5747,0.5341,0.7791
18,0.7216,0.7431,0.4607,0.5384,0.3305,0.5856,0.6588,0.6852,0.7538
24,0.4065,0.579,0.2008,0.4142,0.4589,0.424,0.5097,0.4185,0.4384
26,0.5634,0.6682,0.2909,0.4901,0.2972,0.4756,0.6498,0.5877,0.6776
27,0.3755,0.4487,0.2886,0.5616,0.2842,0.1625,0.4331,0.5338,0.4712
28,0.5634,0.4546,0.4052,0.4702,0.2805,0.6249,0.5454,0.6175,0.4947
30,0.5948,0.7756,0.2955,0.4528,0.4326,0.5052,0.6418,0.5156,0.6271
32,0.3819,0.4145,0.2972,0.4059,0.2815,0.3557,0.3975,0.3933,0.4297
33,0.4939,0.6154,0.2745,0.3714,0.3249,0.2385,0.5257,0.4141,0.5251
36,0.6073,0.6837,0.4414,0.4926,0.2018,0.4901,0.5827,0.5751,0.8207
38,0.5906,0.7614,0.2965,0.4612,0.3698,0.447,0.7345,0.5932,0.6486
39,0.5108,0.5948,0.3045,0.4433,0.4275,0.4195,0.6695,0.5464,0.5817
41,0.4203,0.4553,0.264,0.3227,0.1978,0.2298,0.3752,0.3811,0.4419
42,0.6151,0.6325,0.3345,0.6081,0.3078,0.5035,0.6157,0.7139,0.5449
46,0.5857,0.733,0.2569,0.4296,0.3371,0.5575,0.6487,0.6082,0.6012
49,0.5269,0.6797,0.306,0.5052,0.3333,0.4103,0.6234,0.5534,0.6445
50,0.518,0.601,0.3347,0.3066,0.2701,0.3377,0.5341,0.4051,0.5443
51,0.5786,0.7156,0.2255,0.4928,0.4475,0.5508,0.6939,0.5923,0.6094
52,0.567,0.7422,0.2778,0.4107,0.3921,0.476,0.6282,0.4792,0.6266
53,0.6483,0.7675,0.2626,0.4849,0.3616,0.6185,0.6504,0.6747,0.7235
54,0.3855,0.4842,0.546,0.4353,0.3162,0.3735,0.3797,0.4505,0.4804
55,0.6321,0.6574,0.3951,0.4209,0.2337,0.4642,0.6172,0.5443,0.6609
56,0.5962,0.7127,0.4003,0.5578,0.3616,0.4562,0.5652,0.6162,0.7462
57,0.607,0.7866,0.242,0.4913,0.3423,0.4611,0.6394,0.6026,0.6611
58,0.5212,0.6085,0.3774,0.4112,0.2178,0.3506,0.4966,0.4674,0.6502
59,0.4281,0.6117,0.2,0.4602,0.5727,0.427,0.5474,0.5298,0.4884
60,0.4862,0.5631,0.2692,0.3418,0.264,0.4818,0.4777,0.4812,0.547
62,0.6118,0.6896,0.3553,0.6868,0.2257,0.5264,0.6348,0.7444,0.707
65,0.5735,0.4215,0.3762,0.3266,0.1273,0.2671,0.5326,0.4604,0.5067
66,0.6178,0.6644,0.291,0.4543,0.2366,0.4774,0.5486,0.5903,0.6961
67,0.6718,0.6732,0.2316,0.4408,0.2165,0.4759,0.5919,0.5381,0.6305
68,0.5018,0.4738,0.3538,0.5026,0.2723,0.2799,0.3772,0.4886,0.5413
69,0.5239,0.6593,0.2461,0.4563,0.3736,0.3747,0.6932,0.5434,0.5895
70,0.6558,0.7271,0.312,0.4845,0.3133,0.5297,0.6305,0.627,0.6685
79,0.4807,0.6141,0.2622,0.2743,0.2935,0.4423,0.5088,0.4563,0.5353
81,0.4888,0.5917,0.1834,0.3261,0.2592,0.3512,0.5525,0.4044,0.6023
87,0.6552,0.63,0.4944,0.5607,0.358,0.4599,0.6448,0.6812,0.6405
88,0.55,0.7382,0.1824,0.5987,0.2858,0.4767,0.5957,0.696,0.6245
89,0.4481,0.5433,0.2384,0.2235,0.036,0.4525,0.4918,0.4007,0.5073
90,0.1725,0.2585,0.228,0.1038,0.3496,0.0719,0.2424,0.1348,0.1562
94,0.53,0.5448,0.2625,0.506,0.1475,0.4177,0.4651,0.6518,0.5792
97,0.4721,0.6362,0.2494,0.4037,0.5009,0.3668,0.6489,0.4935,0.5116
98,0.3639,0.4399,0.4459,0.327,0.1555,0.2884,0.3664,0.3364,0.6132
99,0.4982,0.6145,0.3876,0.3989,0.321,0.3944,0.5683,0.5195,0.5794
101,0.6628,0.8032,0.2716,0.5068,0.4093,0.5436,0.7424,0.6414,0.7012
103,0.5874,0.698,0.2473,0.4705,0.3796,0.4977,0.735,0.6051,0.6482
109,0.6319,0.6179,0.3694,0.3548,0.0844,0.4566,0.6185,0.5522,0.7385
115,0.6454,0.6976,0.2254,0.3558,0.2381,0.5148,0.6257,0.5369,0.6728
